project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Health_Social,0.24071,52.16,8.56,0.3627,0.1685,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Manufacturing,0.67571,389.77,9.45,1.6639,0.2838,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Mining_Extraction,0.5908,292.21,7.23,1.7457,0.33085,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Transport_Logistics,0.31699,77.62,5.25,0.2836,0.19019,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Water_Waste,0.18094,32.4,4.05,2.4681,0.12485,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Agriculture,0.07742,13.66,3.44,0.7153,0.05884,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Construction,0.11129,37.02,2.9,0.1463,0.05342,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Energy_Utilities,0.17742,73.65,1.44,0.3934,0.11355,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Health_Social,0.1136,24.62,4.04,0.1712,0.07952,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Manufacturing,0.31971,184.42,4.47,0.7873,0.13428,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Mining_Extraction,0.27821,137.6,3.4,0.8221,0.1558,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Transport_Logistics,0.14981,36.68,2.48,0.134,0.08989,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,4,Water_Waste,0.08554,15.32,1.91,1.1667,0.05902,18879.19,936.29,137.26,26.06
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,5,Agriculture,0.03657,6.45,1.62,0.3379,0.02779,19126.11,947.66,139.307,26.411
