project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Water_Waste,0.32811,53.42,6.22,4.0686,0.2264,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Agriculture,0.11832,19.88,4.38,0.9761,0.08992,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Construction,0.20345,62.66,4.5,0.2523,0.09766,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Energy_Utilities,0.33956,122.58,2.51,0.6723,0.21732,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Health_Social,0.21971,43.68,6.41,0.3065,0.15379,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Manufacturing,0.59681,312.97,7.26,1.3607,0.25066,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Mining_Extraction,0.50173,221.56,5.34,1.3727,0.28097,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Transport_Logistics,0.27378,63.24,4.05,0.2333,0.16427,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,3,Water_Waste,0.14982,24.39,2.84,1.8578,0.10338,16146.4,748.97,115.631,24.409
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Agriculture,0.0533,8.95,1.97,0.4397,0.04051,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Construction,0.0913,28.12,2.02,0.1132,0.04382,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Energy_Utilities,0.15315,55.29,1.13,0.3032,0.09802,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Health_Social,0.09883,19.65,2.88,0.1379,0.06918,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Manufacturing,0.26906,141.1,3.27,0.6135,0.11301,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Mining_Extraction,0.22547,99.57,2.4,0.6169,0.12627,16538.56,765.75,118.798,25.02
