project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Health_Social,1.34,253.07,41.03,1.9067,0.97552,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Manufacturing,2.91975,1485.18,36.92,6.7902,1.26308,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Mining_Extraction,2.57,1100.86,28.17,7.1018,1.48238,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Transport_Logistics,1.411,316.16,22.14,1.2142,0.88046,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Water_Waste,0.7255,113.39,14.58,9.1761,0.52062,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Agriculture,0.26886,44.72,10.45,2.2625,0.21046,14967.88,759.67,112.974,24.467
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Construction,0.46052,137.59,10.7,0.5768,0.22989,14967.88,759.67,112.974,24.467
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Energy_Utilities,0.82922,275.4,6.26,1.6911,0.55723,14967.88,759.67,112.974,24.467
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Health_Social,0.57031,107.71,17.46,0.8115,0.41519,14967.88,759.67,112.974,24.467
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Manufacturing,1.3974,710.81,17.67,3.2498,0.60452,14967.88,759.67,112.974,24.467
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,2,Mining_Extraction,1.15525,494.85,12.66,3.1924,0.66635,14967.88,759.67,112.974,24.467
